序号,实体名,中文名,工业用途分类,软件模块分类,EXPRESS schema,说明链接
1069,projection_directed_callout,投影有向注记,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 数据管理 / 配置（PDM & configuration）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.projection_directed_callout
1070,promissory_usage_occurrence,承诺性用法实例,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.promissory_usage_occurrence
1071,property_definition,属性定义,产品 / 配置 / 数据管理（PDM）,属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,product_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/22_schema.htm#product_property_definition_schema.property_definition
1072,property_definition_relationship,属性定义关系,产品 / 配置 / 数据管理（PDM）,属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,material_property_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/material_and_other_engineering_properties/sys/4_schema.htm#material_property_definition_schema.property_definition_relationship
1073,property_definition_representation,属性定义表示,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization）,product_property_representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/23_schema.htm#product_property_representation_schema.property_definition_representation
1074,property_process,属性过程,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning） / 属性 / 特征化（property & characterization）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1075,protrusion,凸起,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.protrusion
1076,pyramid_volume,棱锥体积,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.pyramid_volume
1077,qualified_representation_item,限定表示项,渲染 / 外观 / 可视化 / 公差 / 尺寸 / 基准（PMI）,渲染 / 可视化（rendering & visualization） / 检测 / PMI（inspection & tolerance） / 元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization）,qualified_measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/material_and_other_engineering_properties/sys/6_schema.htm#qualified_measure_schema.qualified_representation_item
1078,qualitative_uncertainty,定性不确定度,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,qualified_measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/material_and_other_engineering_properties/sys/6_schema.htm#qualified_measure_schema.qualitative_uncertainty
1079,quantified_assembly_component_usage,量化装配组件用法,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.quantified_assembly_component_usage
1080,quantifier_expression,量词表达式,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1081,quasi_uniform_curve,拟均匀曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.quasi_uniform_curve
1082,quasi_uniform_surface,拟均匀曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.quasi_uniform_surface
1083,quasi_uniform_volume,拟均匀体积,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.quasi_uniform_volume
1084,rack_and_pinion_pair,齿条与小齿轮副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.rack_and_pinion_pair
1085,rack_and_pinion_pair_value,齿条与小齿轮副值,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_state_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/7_schema.htm#kinematic_state_schema.rack_and_pinion_pair_value
1086,rack_and_pinion_pair_with_range,带范围的齿条与小齿轮副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.rack_and_pinion_pair_with_range
1087,radioactivity_measure_with_unit,带单位的放射性活度,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.radioactivity_measure_with_unit
1088,radioactivity_unit,放射性单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.radioactivity_unit
1089,radius_dimension,半径尺寸,公差 / 尺寸 / 基准（PMI） / 制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 检测 / PMI（inspection & tolerance）,aic_draughting_elements,https://www.steptools.com/stds/smrl/data/resource_docs/draughting_elements/sys/4_schema.htm#aic_draughting_elements.radius_dimension
1090,range_characteristic,范围特征,产品 / 配置 / 数据管理（PDM）,元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization） / 2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration） / 类型系统 / 选择机制（type system & select）,characteristic_mim,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/5_mim.htm#characteristic_mim.range_characteristic
1091,ratio_measure_with_unit,带单位的比值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.ratio_measure_with_unit
1092,ratio_unit,比单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.ratio_unit
1093,rational_b_spline_curve,有理 B 样条曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rational_b_spline_curve
1094,rational_b_spline_surface,有理 B 样条曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rational_b_spline_surface
1095,rational_b_spline_volume,有理B样条体积,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rational_b_spline_volume
1096,rational_locally_refined_spline_curve,有理局部细化样条曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rational_locally_refined_spline_curve
1097,rational_locally_refined_spline_surface,有理局部细化样条曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rational_locally_refined_spline_surface
1098,rational_locally_refined_spline_volume,有理局部细化样条体积,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rational_locally_refined_spline_volume
1099,rational_representation_item,有理表示项,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,basic_data_representation_mim,https://www.steptools.com/stds/smrl/data/modules/basic_data_representation/sys/5_mim.htm#basic_data_representation_mim.rational_representation_item
1100,rationalize_function,有理化函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1101,real_defined_function,实数定义函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
1102,real_interval_from_min,以最小值为界的实数区间,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1103,real_interval_to_max,以最大值为界的实数区间,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1104,real_literal,实数字面量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
1105,real_numeric_variable,实数数值变量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
1106,real_representation_item,实数表示项,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,basic_data_representation_mim,https://www.steptools.com/stds/smrl/data/modules/basic_data_representation/sys/5_mim.htm#basic_data_representation_mim.real_representation_item
1107,real_tuple_literal,实数元组字面量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1108,rectangular_closed_profile,矩形闭合轮廓,特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.rectangular_closed_profile
1109,rectangular_composite_surface,矩形组合曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rectangular_composite_surface
1110,rectangular_pattern,矩形阵列,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.rectangular_pattern
1111,rectangular_pyramid,矩形棱锥,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.rectangular_pyramid
1112,rectangular_trimmed_surface,矩形裁剪曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.rectangular_trimmed_surface
1113,referenced_modified_datum,被引用的修改基准,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.referenced_modified_datum
1114,regular_table_function,规则表函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1115,reindexed_array_function,重索引数组函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1116,relative_event_occurrence,相对事件实例,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,date_time_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/10_schema.htm#date_time_schema.relative_event_occurrence
1117,removal_volume,移除体积,几何 / 拓扑 / 实体造型 / 特征 / 加工特征,3D 建模 / 实体造型（3D modeling & solid）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.removal_volume
1118,rep_item_group,表示项组,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,layer_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/layer_assignment/sys/5_mim.htm#layer_assignment_mim.rep_item_group
1119,repackaging_function,重新包装函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1120,reparametrised_composite_curve_segment,重参数化组合曲线段,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.reparametrised_composite_curve_segment
1121,replicate_feature,复制特征,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.replicate_feature
1122,repositioned_tessellated_item,重新定位镶嵌项,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 元模型 / 表示框架（representation framework）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.repositioned_tessellated_item
1123,representation,表示,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation
1124,representation_context,表示上下文,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation_context
1125,representation_context_reference,表示上下文引用,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework） / 外部引用 / 代理机制（external reference & proxy）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation_context_reference
1126,representation_item,表示项,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation_item
1127,representation_item_relationship,表示项关系,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,aim-representation_item_relationship,https://stepmfg.github.io/ap238/data/clause5.htm#aim-representation_item_relationship
1128,representation_map,表示映射,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation_map
1129,representation_reference,表示引用,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework） / 外部引用 / 代理机制（external reference & proxy）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation_reference
1130,representation_relationship,表示关系,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation_relationship
1131,representation_relationship_with_transformation,带变换的表示关系,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,representation_schema,https://www.steptools.com/stds/smrl/data/resource_docs/representation_structures/sys/4_schema.htm#representation_schema.representation_relationship_with_transformation
1132,requirement_assigned_object,要求赋值对象,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,requirement_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/requirement_assignment/sys/5_mim.htm#requirement_assignment_mim.requirement_assigned_object
1133,requirement_assignment,要求赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,requirement_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/requirement_assignment/sys/5_mim.htm#requirement_assignment_mim.requirement_assignment
1134,requirement_for_action_resource,用于动作资源的要求,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1135,requirement_source,要求源,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,requirement_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/requirement_assignment/sys/5_mim.htm#requirement_assignment_mim.requirement_source
1136,requirement_view_definition_relationship,要求视图定义关系,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,requirement_view_definition_relationship_mim,https://www.steptools.com/stds/smrl/data/modules/requirement_view_definition_relationship/sys/5_mim.htm#requirement_view_definition_relationship_mim.requirement_view_definition_relationship
1137,resistance_measure_with_unit,带单位的电阻值,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.resistance_measure_with_unit
1138,resistance_unit,电阻单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.resistance_unit
1139,resource_property,资源属性,NC / 数控加工（CAM）,制造 / 工艺规划（CAM & process planning） / 属性 / 特征化（property & characterization）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1140,resource_property_representation,资源属性表示,NC / 数控加工（CAM） / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 制造 / 工艺规划（CAM & process planning） / 元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1141,resource_requirement_type,资源要求类型,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
1142,restriction_function,限制函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
1143,resulting_path,结果路径,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_analysis_control_and_result_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/9_schema.htm#kinematic_analysis_control_and_result_schema.resulting_path
1144,retention,保持,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,retention_period_mim,https://www.steptools.com/stds/smrl/data/modules/retention_period/sys/5_mim.htm#retention_period_mim.retention
1145,revolute_pair,旋转副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.revolute_pair
1146,revolute_pair_value,旋转副值,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_state_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/7_schema.htm#kinematic_state_schema.revolute_pair_value
1147,revolute_pair_with_range,带范围的旋转副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.revolute_pair_with_range
1148,revolved_area_solid,回转面实体,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.revolved_area_solid
1149,revolved_face_solid,回转面实体,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.revolved_face_solid
1150,revolved_profile,回转轮廓,几何 / 拓扑 / 实体造型 / 特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.revolved_profile
1151,rib_top,加强筋顶部,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.rib_top
1152,rib_top_floor,加强筋顶部底,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.rib_top_floor
1153,right_angular_wedge,右角度楔,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.right_angular_wedge
1154,right_circular_cone,右圆形圆锥,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.right_circular_cone
1155,right_circular_cylinder,右圆形圆柱,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometric_model_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/6_schema.htm#geometric_model_schema.right_circular_cylinder
1156,right_to_usage_association,权限到用法关联,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.right_to_usage_association
1157,rigid_link_representation,刚性链接表示,机械 / 运动学 / 传动 / 渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 运动学 / 仿真（kinematics & simulation） / 元模型 / 表示框架（representation framework）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.rigid_link_representation
1158,role_association,角色关联,产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,basic_attribute_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/7_schema.htm#basic_attribute_schema.role_association
1159,rolling_curve_pair,滚动曲线副,机械 / 运动学 / 传动 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.rolling_curve_pair
1160,rolling_curve_pair_value,滚动曲线副值,机械 / 运动学 / 传动 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 运动学 / 仿真（kinematics & simulation）,kinematic_state_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/7_schema.htm#kinematic_state_schema.rolling_curve_pair_value
1161,rolling_surface_pair,滚动曲面副,机械 / 运动学 / 传动 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.rolling_surface_pair
1162,rolling_surface_pair_value,滚动曲面副值,机械 / 运动学 / 传动 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 运动学 / 仿真（kinematics & simulation）,kinematic_state_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/7_schema.htm#kinematic_state_schema.rolling_surface_pair_value
1163,rotation_about_direction,绕方向的旋转,机械 / 运动学 / 传动 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 运动学 / 仿真（kinematics & simulation）,kinematic_state_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/7_schema.htm#kinematic_state_schema.rotation_about_direction
1164,round_hole,圆通孔,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.round_hole
1165,rounded_end,圆角端,特征 / 加工特征,其他 / 通用基础,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.rounded_end
1166,rounded_u_profile,圆角U轮廓,特征 / 加工特征,2D 绘图 / 草图（2D drafting & sketch）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.rounded_u_profile
1167,roundness_tolerance,圆度公差,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.roundness_tolerance
1168,row_representation_item,行表示项,渲染 / 外观 / 可视化,渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,characteristic_mim,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/5_mim.htm#characteristic_mim.row_representation_item
1169,ruled_surface_swept_area_solid,直纹曲面扫掠面积实体,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,aic_curve_swept_solid,https://www.steptools.com/stds/smrl/data/resource_docs/curve_swept_solid/sys/4_schema.htm#aic_curve_swept_solid.ruled_surface_swept_area_solid
1170,runout_zone_definition,跳动公差带定义,公差 / 尺寸 / 基准（PMI）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 检测 / PMI（inspection & tolerance）,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.runout_zone_definition
